


Vintage,Name,Producer,Appellation,Varietal,Size,Quantity,Price,Stored,Notes
,Champagne Veuve Clicquot Brut La Grande Dame,Maison Veuve Clicquot Ponsardin,Champagne,Pinot Noir-Chardonnay,750,1,44.99,,
,Champagne Veuve Clicquot Brut Yellow Label,Maison Veuve Clicquot Ponsardin,Champagne,Pinot Noir-Chardonnay-Pinot Meunier,1500,1,89.99,,
2008,Champagne Veuve Clicquot Brut Yellow Label,Maison Veuve Clicquot Ponsardin,Champagne,Pinot Noir-Chardonnay-Pinot Meunier,750,2,56,,
1998,Champagne Veuve Clicquot Vintage Réserve,Maison Veuve Clicquot Ponsardin,Champagne,Pinot Noir-Chardonnay-Pinot Meunier,750,1,49.99,,
1998,Champagne Veuve Clicquot Vintage Réserve,Maison Veuve Clicquot Ponsardin,Champagne,Pinot Noir-Chardonnay-Pinot Meunier,750,,,, Brad & Erica Sklar: 5 stars 2010 Brad & Erica pale nutty, floral dry persistent 
2008,Champagne Veuve Clicquot Vintage Rosé,Maison Veuve Clicquot Ponsardin,Champagne,Pinot Noir-Chardonnay-Pinot Meunier,750,1,58.95,,
2008,Champagne Veuve Clicquot Vintage Rosé,Maison Veuve Clicquot Ponsardin,Champagne,Pinot Noir-Chardonnay-Pinot Meunier,750,,,, Brad & Erica Sklar: 4.5 stars  NYE E/B popcorn bright fragrant lively well balanced 
,Mod Selection Champagne Brut Grand Reserve,Brut Dargent,Champagne,Pinot Noir-Chardonnay-Pinot Meunier,750,2,95,,98 POINTER RETAILS >300$ 
2018,Stags' Leap Winery The Leap SLD Cabernet Sauvignon,Stag's Leap Wine Cellars,FR,Cabernet Sauvignon,750,1,74.95,,
2017,The Seeker Pinot Noir,The Seeker Wines,FR,Pinot Noir,750,3,9.99,,
2010,Costières de Nimes Blanc Michel Gassier Nostre Païs,Vignobles Michel Gassier,Costières de Nimes,Grenache Blanc-Roussanne-Viognier,750,,,, Brad & Erica Sklar:  Kim M house dinner 
2014,Côtes du Roussillon Blanc Domaine Lafage Cuvée Centenaire,Domaine Lafage,Côtes du Roussillon,Grenache Blanc-Grenache Gris-Roussanne,750,2,14.99,,
2014,Côtes du Roussillon Blanc Domaine Lafage Cuvée Centenaire,Domaine Lafage,Côtes du Roussillon,Grenache Blanc-Grenache Gris-Roussanne,750,,,, Brad & Erica Sklar:  Sklarfest 
2014,Sancerre Domaine Cherrier & Fils Les 7 Hommes,Domaine Cherrier & Fils,Sancerre,Sauvignon Blanc,750,,,, Brad & Erica Sklar: 4 stars  DMB/SPAC cheeses Geoff/Julie bright fragrant crisp light-bodied elegant 
2018,Sancerre Domaine Cherrier & Fils Les 7 Hommes,Domaine Cherrier & Fils,Sancerre,Sauvignon Blanc,750,1,19.99,,
2005,Châteauneuf-du-Pape Domaine de la Vieille Julienne,Domaine de la Vieille Julienne,Côtes du Rhône,Grenache-Cinsault-Mourvèdre-Syrah,750,2,54.98,,
2010,Côtes du Rhône Réserve Domaine Grand Veneur,Domaine Grand Veneur,Côtes du Rhône,Grenache-Syrah-Cinsault,750,1,13.59,,
2006,Villa Matilde Falanghina di Roccamonfina,Fattoria Villa Matilde,Campania,Falanghina,750,,,, Brad & Erica Sklar: 3.5 stars  Tom/Gina BBQ Pfisterer and LaBella deep fragrant crisp well balanced 
2003,Le Marchesine Franciacorta Brut Rosé,Le Marchesine,Franciacorta,Chardonnay-Pinot Nero,750,1,27.99,,
2003,Le Marchesine Franciacorta Brut Rosé,Le Marchesine,Franciacorta,Chardonnay-Pinot Nero,750,,,, Brad & Erica Sklar: 4 stars  gomama and erica asian cuisine pale fragrant lively medium-bodied well balanced 
2009,Montalbera Ruché di Castagnole Monferrato L'Accento,Azienda Agricola Montalbera,Ruché di Castagnole Monferrato,Ruché,750,,,, Brad & Erica Sklar: 4 stars  pfisterers xmas eve italian pfisterers dark fragrant lively alcoholic pleasant 
2009,Montalbera Ruché di Castagnole Monferrato L'Accento,Azienda Agricola Montalbera,Ruché di Castagnole Monferrato,Ruché,750,,,, Brad & Erica Sklar: 4.5 stars  nick and pasqualle bruchetta nick pasqualle deep fragrant lively medium-bodied well balanced 
2016,Cordella Brunello di Montalcino,Cordella Vini,Brunello di Montalcino,Brunello,750,1,39.99,,
2007,Fanti-San Filippo Brunello di Montalcino,Fanti - Tenuta San Filippo,Brunello di Montalcino,Brunello,750,2,34.5,,
2004,Fanti-San Filippo Brunello di Montalcino Le Lucere,Fanti - Tenuta San Filippo,Brunello di Montalcino,Sangiovese,750,3,48.97,,WS 96 Point
